2019-03-10 22:16:39, 21% , 15% , 16% , 16% , 20% , 26% , 14% , 16% , 21% , 36% , 13% , 14% , 15% , 21% , 28% , 15% , 17% , 12% , 16% , 13% , 18% , 11% 
2019-03-10 22:16:41, 21% , 15% , 16% , 16% , 20% , 26% , 14% , 16% , 21% , 36% , 13% , 14% , 15% , 21% , 28% , 15% , 17% , 12% , 16% , 13% , 18% , 11% 
2019-03-10 22:16:43, 21% , 15% , 16% , 16% , 20% , 26% , 14% , 16% , 21% , 36% , 13% , 14% , 15% , 21% , 28% , 15% , 17% , 12% , 16% , 13% , 18% , 11% 
